City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Isabela,PH,1610622816,6.7085,121.9711,40,78,82.4,3.44
Lebu,CL,1610622816,-37.6167,-73.65,4,85,52.77,13.02
Hermanus,ZA,1610622817,-34.4187,19.2345,27,56,90.0,1.01
Jamestown,US,1610622804,42.097,-79.2353,90,80,37.0,8.05
Saint Paul Harbor,US,1610622817,57.79,-152.4072,90,75,37.4,17.27
Punta Arenas,CL,1610622704,-53.15,-70.9167,90,87,50.0,8.05
Hong Kong,HK,1610622549,22.2855,114.1577,18,50,61.0,4.41
Kisi,NG,1610622818,9.0833,3.85,3,10,91.99,7.36
Tambacounda,SN,1610622818,13.7539,-13.7586,0,11,87.8,11.5
Asău,RO,1610622818,46.4333,26.4,100,43,36.0,6.31
Princeton,US,1610622819,25.5384,-80.4089,90,77,62.6,3.44
Kilindoni,TZ,1610622819,-7.9139,39.6668,88,77,81.55,13.4
Zhigansk,RU,1610622819,66.7697,123.3711,51,79,-40.9,9.48
Salalah,OM,1610622820,17.0151,54.0924,0,14,86.0,14.97
San Patricio,US,1610622820,28.017,-97.5169,1,93,48.2,8.05
Rāzole,IN,1610622820,16.4833,81.8333,96,54,86.0,9.22
Talara,PE,1610622820,-4.5772,-81.2719,100,76,72.41,9.69
Bluff,NZ,1610622820,-46.6,168.3333,4,94,59.0,10.0
Mahébourg,MU,1610622821,-20.4081,57.7,20,65,84.2,12.66
Tabou,CI,1610622821,4.423,-7.3528,94,72,82.9,5.82
Ambunti,PG,1610622821,-4.2365,142.8448,89,95,76.62,1.68
Rikitea,PF,1610622821,-23.1203,-134.9692,92,76,77.2,10.13
Port Elizabeth,ZA,1610622822,-33.918,25.5701,75,83,75.2,20.71
Ushuaia,AR,1610622808,-54.8,-68.3,90,71,46.4,10.36
Provideniya,RU,1610622822,64.3833,-173.3,99,89,-0.4,7.58
Chui,UY,1610622822,-33.6971,-53.4616,0,55,69.53,9.57
Kandrian,PG,1610622822,-6.2167,149.55,100,82,81.37,5.68
Kruisfontein,ZA,1610622823,-34.0033,24.7314,52,61,88.0,8.99
Oriental,MX,1610622823,19.3667,-97.6167,78,87,47.84,1.9
Cape Town,ZA,1610622566,-33.9258,18.4232,0,40,90.0,4.61
Lompoc,US,1610622823,34.6391,-120.4579,1,76,64.4,5.75
Husavik,IS,1610622823,66.0449,-17.3389,0,75,35.6,8.05
Bethel,US,1610622824,41.3712,-73.414,90,86,33.01,3.29
Mataura,NZ,1610622706,-46.1927,168.8643,34,94,59.0,10.0
Gympie,AU,1610622600,-26.1898,152.665,0,85,73.0,2.48
Gaffney,US,1610622824,35.0718,-81.6498,3,92,37.0,2.53
Mogadishu,SO,1610622825,2.0371,45.3438,7,64,81.34,22.39
Rørvik,NO,1610622825,64.8621,11.2373,20,93,17.6,3.44
Zaozyornoye,UA,1610622825,45.1582,33.2787,90,72,39.76,4.59
Poum,NC,1610622825,-20.2333,164.0167,100,92,78.71,16.2
Puerto del Rosario,ES,1610622825,28.5004,-13.8627,40,59,66.2,14.97
Arraial do Cabo,BR,1610622826,-22.9661,-42.0278,20,74,80.6,18.41
Churapcha,RU,1610622827,62.0025,132.4325,67,76,-46.68,2.66
Necochea,AR,1610622827,-38.5473,-58.7368,0,82,63.0,16.04
Kyzyl-Suu,KG,1610622827,42.3414,78.0056,11,88,28.76,2.46
Tiksi,RU,1610622827,71.6872,128.8694,77,84,-35.77,3.47
Lavrentiya,RU,1610622828,65.5833,-171.0,97,91,0.82,3.33
Albany,US,1610622707,42.6001,-73.9662,98,74,34.0,1.88
Severo-Kuril'sk,RU,1610622828,50.6789,156.125,100,88,22.91,13.56
Weatherford,US,1610622819,32.7593,-97.7972,73,57,48.99,1.99
Virginia Beach,US,1610622828,36.8529,-75.978,90,75,42.8,8.19
Port Hardy,CA,1610622829,50.6996,-127.4199,90,81,42.8,12.66
Āgaro,ET,1610622829,7.85,36.65,77,29,84.58,2.1
Bredasdorp,ZA,1610622829,-34.5322,20.0403,40,65,78.8,17.27
Southbridge,US,1610622829,42.0751,-72.0334,100,76,30.99,4.85
Marsá Maţrūḩ,EG,1610622829,31.3525,27.2453,20,52,64.4,25.32
Varhaug,NO,1610622830,58.6147,5.6457,0,74,24.8,3.44
Vaini,TO,1610622707,-21.2,-175.2,20,94,78.8,4.61
Demirci,TR,1610622830,39.0461,28.6589,82,77,37.81,6.42
Katherine,AU,1610622606,-14.4667,132.2667,91,89,80.6,2.8
Alihe,CN,1610622831,50.5667,123.7167,2,83,-10.8,2.04
Souillac,MU,1610622831,-20.5167,57.5167,20,65,84.2,12.66
Shache,CN,1610622831,38.4167,77.2406,0,40,45.64,2.26
Bengkulu,ID,1610622831,-3.8004,102.2655,69,74,81.99,3.02
Guayabetal,CO,1610622831,4.2147,-73.8172,40,93,39.2,4.61
Hobart,AU,1610622832,-42.8794,147.3294,75,94,59.0,4.61
Busselton,AU,1610622704,-33.65,115.3333,48,50,73.99,1.01
Tokoroa,NZ,1610622684,-38.2333,175.8667,22,75,61.0,2.06
Saskylakh,RU,1610622832,71.9167,114.0833,49,74,-47.24,6.76
Roebourne,AU,1610622833,-20.7833,117.1333,1,24,100.89,13.02
Coyhaique,CL,1610622833,-45.5752,-72.0662,0,87,46.4,6.91
Teya,RU,1610622833,60.3778,92.6267,100,88,1.87,12.8
Tasiilaq,GL,1610622833,65.6145,-37.6368,90,80,35.6,11.86
Ferme-Neuve,CA,1610622834,46.7001,-75.4493,96,93,28.4,0.54
Yumen,CN,1610622834,40.2833,97.2,87,75,25.16,15.43
East London,ZA,1610622834,-33.0153,27.9116,90,100,71.6,14.97
Khatanga,RU,1610622834,71.9667,102.5,85,78,-46.1,7.34
Thompson,CA,1610622834,55.7435,-97.8558,90,100,26.6,4.61
Progreso,MX,1610622835,21.2833,-89.6667,40,100,66.0,11.32
Cabo San Lucas,MX,1610622835,22.8909,-109.9124,28,49,57.99,3.0
Thinadhoo,MV,1610622835,0.5333,72.9333,73,76,82.26,20.18
Qaanaaq,GL,1610622705,77.484,-69.3632,0,75,-1.62,4.65
Bathsheba,BB,1610622836,13.2167,-59.5167,40,73,78.8,14.97
Vanavara,RU,1610622836,60.34,102.2797,100,91,-2.6,13.29
Nurota,UZ,1610622837,40.5614,65.6886,0,25,62.6,11.5
Camocim,BR,1610622837,-2.9022,-40.8411,84,69,81.88,12.39
Puerto Ayora,EC,1610622837,-0.7393,-90.3518,69,97,73.0,5.99
Bograd,RU,1610622837,54.2344,90.8328,0,60,-0.4,8.95
Mar del Plata,AR,1610622838,-38.0023,-57.5575,0,68,66.99,11.5
Airai,TL,1610622838,-8.9266,125.4092,100,100,64.87,0.81
Ponta do Sol,PT,1610622838,32.6667,-17.1,40,67,60.01,13.8
Cidreira,BR,1610622839,-30.1811,-50.2056,65,66,72.23,14.97
Sosnovo-Ozerskoye,RU,1610622839,52.5249,111.5418,85,88,-15.97,8.66
Laguna,US,1610622839,38.421,-121.4238,1,82,52.0,6.91
Yellowknife,CA,1610622839,62.456,-114.3525,90,85,5.0,5.75
Bambous Virieux,MU,1610622839,-20.3428,57.7575,20,65,84.99,12.66
Chokurdakh,RU,1610622840,70.6333,147.9167,100,90,-12.91,8.19
Sitka,US,1610622840,57.0531,-135.33,90,70,41.0,12.66
Kaitangata,NZ,1610622840,-46.2817,169.8464,29,90,60.01,3.31
Nam Som,TH,1610622840,17.7704,102.1895,0,47,78.01,4.61
Fortuna,US,1610622841,40.5982,-124.1573,90,100,52.0,8.05
Sangar,RU,1610622841,63.9242,127.4739,3,76,-44.97,5.68
Dudinka,RU,1610622842,69.4058,86.1778,0,81,-37.14,9.84
Flin Flon,CA,1610622842,54.7682,-101.865,100,98,27.75,15.17
Acaraú,BR,1610622842,-2.8856,-40.12,96,71,81.63,13.91
Santa Maria,BR,1610622715,-29.6842,-53.8069,20,94,62.6,6.91
Atuona,PF,1610622705,-9.8,-139.0333,28,79,76.84,10.85
Ribeira Grande,PT,1610622707,38.5167,-28.7,75,94,62.6,10.36
Ilulissat,GL,1610622843,69.2167,-51.1,75,86,21.2,5.75
Bonavista,CA,1610622843,48.6499,-53.1147,51,100,32.0,2.3
Saldanha,ZA,1610622843,-33.0117,17.9442,0,47,82.4,11.5
Maun,BW,1610622843,-19.9833,23.4167,75,69,82.4,9.22
Iskateley,RU,1610622844,67.6803,53.1512,99,86,-9.06,12.26
Carberry,CA,1610622845,49.8689,-99.3602,90,93,32.0,11.5
Ahipara,NZ,1610622845,-35.1667,173.1667,12,90,63.7,7.47
Pontal do Paraná,BR,1610622845,-25.6533,-48.5128,98,99,66.0,8.25
Castro,BR,1610622707,-24.7911,-50.0119,96,89,67.24,11.23
Bara,NG,1610622845,10.3744,10.7288,0,23,86.0,17.27
Kapaa,US,1610622846,22.0752,-159.319,90,73,73.4,11.5
Ilebo,CD,1610622846,-4.3167,20.5833,95,49,88.43,5.17
Huarmey,PE,1610622846,-10.0681,-78.1522,100,89,69.85,6.82
Linjiang,CN,1610622846,41.8069,126.9078,95,86,12.94,2.1
Faya,SA,1610622847,18.3851,42.4509,20,42,68.0,9.22
Cap Malheureux,MU,1610622847,-19.9842,57.6142,27,67,84.99,7.0
Clyde River,CA,1610622847,70.4692,-68.5914,1,84,-7.6,6.91
Kawalu,ID,1610622847,-7.3817,108.2082,89,84,76.05,1.1
Bilma,NE,1610622848,18.6853,12.9164,28,21,77.36,10.67
Orlik,RU,1610622848,52.5178,99.825,94,76,-15.99,3.67
Hithadhoo,MV,1610622848,-0.6,73.0833,89,77,81.97,21.74
Xining,CN,1610622848,36.6167,101.7667,82,54,34.77,13.27
College,US,1610622849,64.8569,-147.8028,40,77,9.0,3.44
Avarua,CK,1610622849,-21.2078,-159.775,90,89,78.8,6.91
Marshall,US,1610622850,34.3834,-86.3333,1,93,34.0,4.61
Tuktoyaktuk,CA,1610622850,69.4541,-133.0374,19,88,-21.66,2.01
Narsaq,GL,1610622850,60.9167,-46.05,75,86,26.6,3.44
Quelimane,MZ,1610622850,-17.8786,36.8883,75,74,89.6,3.44
La Asuncion,VE,1610622850,11.0333,-63.8628,85,86,75.83,16.28
Annau,TM,1610622851,37.8876,58.516,0,62,53.6,4.61
Grandview,US,1610622668,38.8858,-94.533,1,61,48.99,17.27
Sandakan,MY,1610622851,5.8402,118.1179,40,100,77.0,4.5
Klyuchi,RU,1610622852,52.2667,79.1667,86,87,-18.45,5.86
Verkhnyaya Inta,RU,1610622852,65.9811,60.3094,82,87,-15.41,10.78
Praia,CV,1610622852,14.9215,-23.5087,75,57,75.2,25.32
Vostok,RU,1610622852,46.4856,135.8833,100,92,-4.97,4.36
Edd,ER,1610622853,13.9297,41.6925,0,34,86.9,19.62
Qaqortoq,GL,1610622853,60.7167,-46.0333,75,86,26.6,3.44
Newport,GB,1610622853,51.5877,-2.9984,99,85,50.0,4.0
Emba,KZ,1610622854,48.8264,58.1442,100,88,10.87,20.58
Amahai,ID,1610622854,-3.3333,128.9167,99,79,88.0,1.12
Taoudenni,ML,1610622854,22.6783,-3.9836,11,23,67.73,15.97
Torbay,CA,1610622854,47.6666,-52.7314,90,93,34.0,8.05
Wasco,US,1610622855,35.5941,-119.341,1,80,44.01,0.65
Riyadh,SA,1610622749,24.6877,46.7219,0,18,71.6,5.75
Losone,CH,1610622855,46.1687,8.7593,20,58,55.4,8.05
Saint-Augustin,CA,1610622855,51.226,-58.6502,100,95,22.12,5.3
Dingle,PH,1610622856,10.9995,122.6711,29,87,75.65,9.89
Dikson,RU,1610622856,73.5069,80.5464,0,79,-28.08,3.94
Chara,RU,1610622856,56.9064,118.2631,56,70,-25.2,1.43
Upernavik,GL,1610622856,72.7868,-56.1549,100,94,16.86,3.29
Pangnirtung,CA,1610622856,66.1451,-65.7125,100,75,-5.58,0.74
Makakilo City,US,1610622857,21.3469,-158.0858,1,78,73.4,4.61
San Cristobal,VE,1610622857,7.7669,-72.225,70,85,60.8,2.82
Kahului,US,1610622857,20.8947,-156.47,1,77,69.01,9.53
Esperance,AU,1610622857,-33.8667,121.9,54,52,64.4,23.02
Donnacona,CA,1610622857,46.6804,-71.7239,90,93,30.2,1.88
Goundam,ML,1610622858,16.4145,-3.6708,18,14,82.87,14.25
Kars,TR,1610622859,40.602,43.095,75,65,41.0,23.02
Stepnyak,KZ,1610622859,52.8339,70.7803,0,86,-9.15,4.65
La Ronge,CA,1610622859,55.1001,-105.2842,100,74,26.6,10.36
Danshui,CN,1610622859,22.7984,114.4672,22,49,63.0,4.21
Saint-Philippe,RE,1610622859,-21.3585,55.7679,75,66,87.8,9.22
Leningradskiy,RU,1610622860,69.3833,178.4167,100,92,1.31,11.27
Khasan,RU,1610622860,42.4308,130.6434,52,73,19.49,5.91
Chapada dos Guimarães,BR,1610622860,-15.4606,-55.7497,40,94,77.0,3.44
São Gabriel da Cachoeira,BR,1610622860,-0.1303,-67.0892,100,99,71.26,1.07
Pochutla,MX,1610622860,15.7432,-96.4661,29,81,66.99,2.51
São Félix do Xingu,BR,1610622861,-6.6447,-51.995,98,96,72.99,0.27
Bosaso,SO,1610622861,11.2842,49.1816,1,56,79.16,14.38
Yinchuan,CN,1610622744,38.4681,106.2731,56,69,31.14,10.27
Broken Hill,AU,1610622861,-31.95,141.4333,0,19,80.6,12.66
Sobolevo,RU,1610622862,54.4299,31.8996,96,94,8.56,8.39
Berlevåg,NO,1610622862,70.8578,29.0864,75,93,30.2,10.36
Aksarka,RU,1610622862,66.5606,67.7975,94,87,-3.78,12.48
Lüderitz,NA,1610622611,-26.6481,15.1594,90,67,71.11,13.02
Klaksvík,FO,1610622862,62.2266,-6.589,75,93,41.0,10.36
Lagoa,PT,1610622863,39.05,-27.9833,82,90,61.66,13.82
Ontario,US,1610622863,34.0633,-117.6509,20,40,60.8,5.75
Nishihara,JP,1610622863,26.1842,127.7558,75,55,64.4,4.61
Kismayo,SO,1610622863,-0.3582,42.5454,60,63,83.35,17.78
Yulara,AU,1610622864,-25.2406,130.9889,80,11,104.0,10.36
Jepara,ID,1610622864,-5.1695,105.7044,89,86,79.65,4.99
Raudeberg,NO,1610622864,61.9875,5.1352,0,69,28.99,9.22
Sulphur Springs,US,1610622864,33.1385,-95.6011,1,66,46.4,11.5
Codrington,AU,1610622865,-38.2667,141.9667,21,74,52.52,8.12
Arrondissement de Parthenay,FR,1610622865,46.6667,-0.4167,99,97,48.99,7.0
Barrow,US,1610622865,71.2906,-156.7887,1,77,-9.4,16.11
Shelburne,CA,1610622866,44.0787,-80.2041,100,100,33.01,3.36
Trindade,BR,1610622866,-16.6494,-49.4889,90,94,68.0,2.3
Portland,US,1610622573,45.5234,-122.6762,90,93,43.0,2.35
Hilo,US,1610622867,19.7297,-155.09,1,68,69.8,6.91
Ngunguru,NZ,1610622867,-35.6167,174.5,11,91,64.99,3.0
Nikolskoye,RU,1610622867,59.7035,30.7861,75,72,8.6,11.18
Katsuura,JP,1610622868,35.1333,140.3,0,71,50.0,4.61
Jiayuguan City,CN,1610622818,39.8167,98.3,99,74,22.06,5.32
Marquette,US,1610622874,46.5333,-87.6335,27,93,30.99,6.38
Pidigan,PH,1610622876,17.57,120.5903,75,69,78.8,4.61
Quesnel,CA,1610622876,52.9999,-122.5029,1,93,21.2,4.63
Port Augusta,AU,1610622707,-32.5,137.7667,0,68,64.4,20.71
Karligan,PH,1610622878,14.975,122.0456,100,83,77.65,18.92
Tilichiki,RU,1610622878,60.4667,166.1,0,85,-24.93,7.31
Madimba,TZ,1610622880,-10.4,40.3333,40,70,86.0,14.97
Alofi,NU,1610622829,-19.0595,-169.9187,97,94,77.0,4.61
Havre-St-Pierre,CA,1610622894,50.2334,-63.5986,40,93,17.6,6.91
Petropavlovsk-Kamchatskiy,RU,1610622752,53.0452,158.6483,48,60,-0.4,6.71
Fukuechō,JP,1610622932,32.6881,128.8419,40,87,46.4,1.14
Pevek,RU,1610622933,69.7008,170.3133,95,89,-13.68,1.36
Colac,AU,1610622933,-38.3333,143.5833,51,90,55.0,6.46
New Norfolk,AU,1610622933,-42.7826,147.0587,77,51,59.0,3.0
Half Moon Bay,US,1610622933,37.4636,-122.4286,1,82,57.99,8.05
Toamasina,MG,1610622934,-18.1667,49.3833,40,70,89.6,12.66
Departamento de Maldonado,UY,1610622934,-34.6667,-54.9167,0,82,66.99,5.75
Ballina,AU,1610622934,-28.8667,153.5667,0,78,73.4,6.91
Eldorado,BR,1610622934,-23.7869,-54.2836,97,85,75.04,10.78
Butaritari,KI,1610622935,3.0707,172.7902,58,82,81.09,18.95
Kotel,BG,1610622935,42.8833,26.45,75,48,39.2,4.61
Cam Ranh,VN,1610622707,11.9214,109.1591,20,60,75.2,12.66
Hasaki,JP,1610622936,35.7333,140.8333,20,70,42.8,2.3
Krasnyy Chikoy,RU,1610622936,50.3643,108.7512,100,85,-8.82,3.74
Zubtsov,RU,1610622936,56.1753,34.5894,100,92,2.55,10.47
North Myrtle Beach,US,1610622936,33.816,-78.68,75,100,43.0,4.61
Slave Lake,CA,1610622937,55.2834,-114.769,0,55,30.2,28.77
Phan Thiet,VN,1610622923,10.9333,108.1,0,79,71.64,8.61
Jatibonico,CU,1610622937,21.9419,-79.17,62,96,67.87,2.35
Longyearbyen,SJ,1610622937,78.2186,15.6401,75,68,24.8,14.97
Soubre,CI,1610622938,5.7856,-6.6083,80,57,86.56,3.24
Newtonmore,GB,1610622938,57.066,-4.1192,75,93,36.0,7.29
Cherskiy,RU,1610622938,68.75,161.3,69,85,-27.65,2.17
Padang,ID,1610622938,-0.9492,100.3543,40,74,84.2,2.06
Sioux Lookout,CA,1610622938,50.1001,-91.917,90,100,24.8,6.91
Sambava,MG,1610622939,-14.2667,50.1667,12,70,85.84,8.77
Benin,BJ,1610622939,9.5,2.25,0,10,91.76,8.08
Qian’an,CN,1610622815,44.9932,124.0581,100,92,2.26,6.15
Erenhot,CN,1610622939,43.6475,111.9767,97,95,9.03,13.67
Hervey Bay,AU,1610622856,-25.2986,152.8535,0,76,75.0,1.01
Kieta,PG,1610622940,-6.2167,155.6333,56,70,81.16,3.71
Poconé,BR,1610622940,-16.2567,-56.6228,100,88,76.98,1.81
Lékoni,GA,1610622940,-1.5843,14.2591,80,69,77.86,11.23
Itapora,BR,1610622940,-22.0799,-54.7874,100,92,73.45,7.74
Port Alfred,ZA,1610622941,-33.5906,26.891,95,81,76.57,21.39
Nhulunbuy,AU,1610622941,-12.2333,136.7667,57,89,82.4,4.9
Beloha,MG,1610622941,-25.1667,45.05,0,32,97.9,12.97
Kiryat Gat,IL,1610622941,31.61,34.7642,6,54,64.0,3.0
Dubti,ET,1610622941,11.7361,41.0853,0,20,89.74,14.0
Yichun,CN,1610622942,47.7,128.9,54,90,-10.23,2.06
Birjand,IR,1610622942,32.8663,59.2211,20,2,62.6,13.8
Frankfort,ZA,1610622942,-27.2667,28.4833,33,34,85.35,4.83
Bereda,ES,1610622942,43.2686,-7.5406,96,100,43.0,1.99
Camacha,PT,1610622942,33.0833,-16.3333,40,63,59.0,11.5
Katangli,RU,1610622943,51.7102,143.2326,100,92,-2.56,22.59
Sorong,ID,1610622943,-0.8833,131.25,100,80,82.89,8.32
Shellbrook,CA,1610622943,53.2168,-106.4011,90,80,26.6,18.41
Talen,IN,1610622944,23.5667,76.7167,0,18,76.89,6.71
Nome,US,1610622944,64.5011,-165.4064,99,86,17.6,8.05
Le Port,RE,1610622945,-20.9373,55.2919,90,78,80.6,9.22
Aklavik,CA,1610622945,68.2191,-135.0107,98,84,-14.8,5.82
Kavieng,PG,1610622705,-2.5744,150.7967,89,75,83.32,12.86
Yarim,YE,1610622945,14.298,44.3779,0,29,61.72,7.05
Saint Anthony,US,1610622945,45.0205,-93.218,1,93,33.01,3.44
La Paz,BO,1610622946,-16.5,-68.15,75,93,42.8,5.75
Oussouye,SN,1610622946,12.485,-16.5469,0,36,84.2,11.5
Agüimes,ES,1610622946,27.9054,-15.4461,40,63,66.2,12.66
Alyangula,AU,1610622946,-13.8483,136.4192,49,89,82.4,7.43
Lorengau,PG,1610622947,-2.0226,147.2712,78,74,83.07,8.97
Hofn,IS,1610622947,64.2539,-15.2082,90,93,37.4,4.61
Road Town,VG,1610622947,18.4167,-64.6167,40,83,78.8,10.36
Ixtapa,MX,1610622947,20.7,-105.2,100,46,65.1,2.53
Korla,CN,1610622947,41.7597,86.1469,29,78,25.48,7.05
Santa Lucía,ES,1610622948,27.9117,-15.5407,40,63,66.2,12.66
Bentiu,SS,1610622949,9.2333,29.8333,41,8,104.9,2.91
Sesheke,ZM,1610622949,-17.4759,24.2968,98,77,77.76,5.66
Resistencia,AR,1610622949,-27.4606,-58.9839,0,69,75.99,11.5
Ghanzi,BW,1610622949,-21.5667,21.7833,35,51,83.55,12.64
Zyryanovsk,KZ,1610622950,49.7386,84.2719,3,85,-18.33,0.58
Clifton,US,1610622950,40.8584,-74.1638,75,80,39.0,3.44
Sørland,NO,1610622950,67.667,12.6934,75,93,33.8,3.44
Illora,ES,1610622950,37.2877,-3.8811,0,75,44.01,2.57
Faanui,PF,1610622950,-16.4833,-151.75,74,78,80.8,15.99
Maple Creek,CA,1610622951,49.9168,-109.4848,0,53,21.2,12.66
Norman Wells,CA,1610622951,65.282,-126.8329,90,85,1.4,2.3
Nānākuli,US,1610622951,21.3906,-158.1547,1,78,73.0,4.61
Douentza,ML,1610622951,14.9951,-2.9517,25,11,87.48,7.67
Sittwe,MM,1610622801,20.15,92.9,55,52,76.51,13.67
