City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Aranos,NA,1610622952,-24.1333,19.1167,37,42,85.95,11.68
Sur,OM,1610622952,22.5667,59.5289,0,45,74.61,13.13
Vasterhaninge,SE,1610622952,59.1167,18.1,100,69,30.0,14.83
Antalaha,MG,1610622952,-14.9003,50.2788,15,71,85.59,7.81
Gweta,BW,1610622953,-20.1833,25.2333,84,52,82.78,6.31
Ambon City,ID,1610622785,-3.6954,128.1814,40,84,84.2,4.61
Touros,BR,1610622953,-5.1989,-35.4608,75,78,80.6,12.66
Kalanguy,RU,1610622953,51.0167,116.5167,7,86,-22.43,0.76
Puri,IN,1610622954,19.8,85.85,40,54,82.4,1.14
Ko Samui,TH,1610622954,9.5357,99.9357,20,58,84.2,6.91
Mount Isa,AU,1610622954,-20.7333,139.5,3,27,91.4,4.61
Arrondissement de Mende,FR,1610622954,44.6667,3.5,89,96,32.7,14.14
Basco,PH,1610622954,20.4487,121.9702,47,72,71.46,17.0
Peniche,PT,1610622955,39.3558,-9.3811,70,65,52.0,8.01
Kununurra,AU,1610622955,-15.7667,128.7333,96,79,84.2,4.61
Chervona Sloboda,UA,1610622955,49.3789,32.1464,100,95,30.31,8.77
Marzuq,YE,1610622955,14.4,46.4667,4,20,74.17,6.44
Traverse City,US,1610622955,44.7631,-85.6206,90,80,35.6,5.32
Vao,NC,1610622956,-22.6667,167.4833,100,86,77.81,14.12
Nainpur,IN,1610622956,22.4333,80.1167,87,16,78.04,7.09
Margate,GB,1610622956,51.3813,1.3862,100,90,41.0,8.01
Nioro,GM,1610622956,13.35,-15.75,0,13,86.41,12.59
Port-Gentil,GA,1610622957,-0.7193,8.7815,40,70,86.0,9.22
Koundara,GN,1610622957,12.4833,-13.3,0,11,90.0,6.87
Filingué,NE,1610622957,14.3521,3.3168,0,12,88.34,14.14
Teguise,ES,1610622957,29.0605,-13.564,20,59,64.4,16.11
Dongling,CN,1610622957,41.8144,123.5758,0,36,26.6,6.71
Bend,US,1610622958,44.0582,-121.3153,50,76,34.0,7.49
Olenegorsk,RU,1610622958,68.15,33.3,96,90,-2.09,4.5
Duku,NG,1610622958,11.2361,4.9073,31,10,92.34,7.83
Margherita,IN,1610622959,27.2833,95.6833,75,77,68.0,0.83
Shingū,JP,1610622959,33.7333,135.9833,40,57,48.2,4.61
Plouzané,FR,1610622959,48.3833,-4.6167,90,87,50.0,19.57
Yenagoa,NG,1610622782,4.9247,6.2642,27,64,87.55,1.7
Yarmouth,US,1610622960,41.7057,-70.2286,90,86,37.0,5.44
Lesnikovo,RU,1610622960,55.2822,65.3175,0,86,-14.08,4.88
Kaeo,NZ,1610622960,-35.1,173.7833,13,91,64.99,3.0
Potosí,BO,1610622961,-19.5836,-65.7531,90,83,44.37,3.04
George Town,MY,1610622864,5.4112,100.3354,20,62,87.8,6.91
Balingasay,PH,1610622961,16.3573,119.8564,89,75,79.09,11.34
Melbu,NO,1610622961,68.5044,14.8297,75,93,32.0,3.44
Belfast,GB,1610622962,54.5833,-5.9333,20,87,46.0,13.8
Moree,AU,1610622962,-29.4667,149.85,13,39,82.4,5.75
Okha,RU,1610622962,53.5739,142.9478,100,87,-7.24,14.97
Black River,JM,1610622962,18.0264,-77.8487,20,83,72.0,4.61
Chotěšov,CZ,1610622963,49.6541,13.2027,90,75,34.0,2.3
Haftoni,AZ,1610622964,38.7632,48.7622,90,100,46.4,6.91
Mount Gambier,AU,1610622964,-37.8333,140.7667,90,63,59.0,12.66
Lata,PT,1610622964,40.1629,-8.3327,1,75,53.01,3.36
Shanghai,CN,1610622725,31.2222,121.4581,0,32,55.99,6.71
Agirish,RU,1610622965,61.9247,63.0231,0,87,-6.54,6.44
Samfya,ZM,1610622965,-11.3649,29.5565,74,78,75.06,8.93
Karpathos,GR,1610622965,35.507,27.2132,75,82,51.8,20.71
Muravlenko,RU,1610622966,63.7898,74.523,7,87,-4.18,17.9
Borodino,RU,1610622966,55.9106,94.8983,100,89,1.08,19.08
Tianpeng,CN,1610622966,30.9866,103.9393,0,1,51.01,3.33
Paraisópolis,BR,1610622966,-22.5542,-45.78,40,94,73.4,1.14
Quatre Cocos,MU,1610622966,-20.2078,57.7625,20,65,84.99,12.66
Bud,US,1610622967,39.447,-86.1758,91,90,30.99,8.55
Yining,CN,1610622725,29.0361,114.5636,0,46,53.38,2.89
Guerrero Negro,MX,1610622706,27.9769,-114.0611,0,54,52.86,1.92
Kerema,PG,1610622967,-7.9631,145.7785,86,77,82.15,1.59
Tamale,GH,1610622859,9.4008,-0.8393,25,10,92.98,9.13
Dongsheng,CN,1610622968,39.8161,109.9776,2,65,24.69,29.35
Ágfalva,HU,1610622968,47.6899,16.5166,90,100,32.0,17.27
Searcy,US,1610622968,35.2506,-91.7363,1,87,36.0,4.61
Meulaboh,ID,1610622968,4.1363,96.1285,63,66,81.79,3.74
Greenville,US,1610622969,35.6127,-77.3663,90,93,44.6,5.48
Bykovo,RU,1610622969,55.6361,38.0803,90,85,9.0,8.95
Sotnikovo,RU,1610622969,51.8845,107.4791,20,71,-7.6,3.56
Tura,IN,1610622969,25.5198,90.2201,2,46,64.11,3.2
Lapi,PH,1610622970,17.716,121.8978,99,85,70.65,4.52
Río Gallegos,AR,1610622970,-51.6226,-69.2181,75,54,55.4,8.05
Mitú,CO,1610622970,1.1983,-70.1733,100,99,70.83,2.04
Carnarvon,AU,1610622914,-24.8667,113.6333,5,69,82.4,18.41
Skjervøy,NO,1610622970,70.0311,20.9714,75,86,33.8,12.66
Tautira,PF,1610622971,-17.7333,-149.15,0,73,78.8,2.3
Camopi,GF,1610622971,3.1655,-52.3158,67,97,72.97,3.04
Talnakh,RU,1610622972,69.4865,88.3972,1,77,-33.75,4.45
Port Blair,IN,1610622972,11.6667,92.75,72,69,79.95,11.43
Inuvik,CA,1610622972,68.3499,-133.7218,100,84,-14.8,3.69
Kirillov,RU,1610622972,59.863,38.3813,90,77,-7.6,6.71
Paris,FR,1610622827,48.8534,2.3488,90,93,50.0,11.5
Zaliztsi,UA,1610622973,49.7919,25.373,100,96,27.9,7.67
Yangi Marg`ilon,UZ,1610622973,40.4272,71.7189,0,40,48.2,2.3
Praxédis Guerrero,MX,1610622973,31.3667,-106.0167,40,30,41.0,3.44
Namatanai,PG,1610622705,-3.6667,152.4333,95,77,80.89,8.68
Belaya Gora,RU,1610622974,68.5333,146.4167,100,86,-26.48,6.6
Aripuanã,BR,1610622974,-9.1667,-60.6333,100,99,73.09,1.01
San Luis,AR,1610622974,-33.295,-66.3356,7,57,72.9,8.9
Finschhafen,PG,1610622974,-6.6024,147.8681,97,78,83.28,14.85
Halmstad,SE,1610622974,56.6745,12.8568,75,74,34.0,14.97
Prince George,CA,1610622975,53.9166,-122.753,1,74,26.6,9.22
Tessalit,ML,1610622975,20.1986,1.0114,0,14,81.48,8.01
Takoradze,GH,1610622852,4.8845,-1.7554,25,67,85.03,5.84
Tanabe,JP,1610622975,33.7333,135.3667,40,57,48.2,4.61
Evensk,RU,1610622976,61.95,159.2333,7,72,-21.48,7.9
Labuhan,ID,1610622976,-6.8844,112.2051,99,80,81.09,6.2
Bulgan,MN,1610622976,48.8125,103.5347,24,83,-7.04,1.86
Birsk,RU,1610622976,55.4211,55.5428,99,92,10.38,9.51
Ostrovnoy,RU,1610622976,68.0531,39.5131,87,93,2.19,23.96
Romita,MX,1610622977,20.8667,-101.5167,75,46,51.8,0.76
Chingola,ZM,1610622977,-12.529,27.8838,100,90,70.88,8.48
Sitrah,BH,1610622977,26.1547,50.6206,0,28,69.8,8.05
Sungai Penuh,ID,1610622977,-2.0833,101.3833,100,92,69.39,0.83
Santa Marinella,IT,1610622978,42.0345,11.8536,30,85,51.01,12.57
Vengerovo,RU,1610622978,55.6848,76.7471,6,87,-16.47,8.21
Kiama,AU,1610622978,-34.6833,150.8667,40,89,73.0,3.0
Amuntai,ID,1610622978,-2.4177,115.2494,100,96,74.17,2.17
Turaif,SA,1610622978,31.6725,38.6637,75,100,50.0,6.91
Pacific Grove,US,1610622979,36.6177,-121.9166,1,87,59.0,9.22
Muborak,UZ,1610622979,39.2553,65.1528,0,39,55.58,3.69
Berbera,SO,1610622979,10.4396,45.0143,47,55,79.36,14.32
Denpasar,ID,1610622979,-8.65,115.2167,75,89,82.4,12.66
Storforshei,NO,1610622980,66.4043,14.5233,40,92,10.99,2.3
Kavaratti,IN,1610622980,10.5669,72.642,89,65,81.86,3.33
Buala,SB,1610622980,-8.145,159.5921,78,73,80.91,5.21
Saint-Pierre,RE,1610622750,-21.3393,55.4781,75,66,87.8,9.22
Yar-Sale,RU,1610622980,66.8333,70.8333,100,91,2.77,9.8
Gijang,KR,1610622981,35.2442,129.2139,20,60,41.0,4.61
Buraidah,SA,1610622981,26.326,43.975,40,49,71.6,6.91
Kattivākkam,IN,1610622981,13.2167,80.3167,40,70,84.2,13.8
Luena,AO,1610622983,-11.7833,19.9167,40,64,75.2,9.22
Snina,SK,1610622866,48.9886,22.151,99,85,30.0,1.03
Santoña,ES,1610622984,43.4439,-3.4576,40,66,51.8,9.22
Saint-François,FR,1610622984,46.4154,3.9054,90,87,46.4,13.8
Mankono,CI,1610622984,8.0586,-6.1897,9,33,95.23,1.83
Spokane,US,1610622984,47.6166,-117.3677,1,86,30.2,3.44
Graham,US,1610622985,47.0529,-122.2943,90,93,39.0,3.0
Constitución,CL,1610622985,-35.3333,-72.4167,0,48,55.62,3.62
Vitim,RU,1610622985,59.4511,112.5578,100,88,-3.93,14.05
Sayyan,YE,1610622986,15.1718,44.3244,10,25,65.35,5.14
Vila Franca do Campo,PT,1610622986,37.7167,-25.4333,75,94,62.01,11.5
Yuanping,CN,1610622774,38.7153,112.7575,80,71,30.51,1.79
Zhigalovo,RU,1610622986,54.8097,105.1578,100,87,-8.59,4.65
Norton,ZW,1610622986,-17.8833,30.7,79,77,73.0,7.0
Kushiro,JP,1610622976,42.975,144.3747,20,50,23.0,16.11
Raja,SS,1610622987,8.4596,25.678,12,11,94.96,7.05
São João da Barra,BR,1610622988,-21.6403,-41.0511,20,65,82.4,14.97
Houston,US,1610622807,29.7633,-95.3633,1,87,46.99,6.85
Soyo,AO,1610622988,-6.1349,12.3689,20,66,86.0,6.91
Ulladulla,AU,1610622988,-35.35,150.4667,90,83,68.0,10.36
Prince Rupert,CA,1610622989,54.3161,-130.3201,90,70,42.8,10.36
Hauterive,FR,1610622989,46.0901,3.4459,75,57,50.0,8.05
Lancaster,US,1610622989,40.2504,-76.2499,1,80,33.01,3.44
Dali,CN,1610622756,25.7,100.1833,75,56,47.57,3.13
Tarko-Sale,RU,1610622990,64.9225,77.785,99,93,1.08,15.12
Iqaluit,CA,1610622990,63.7506,-68.5145,1,69,-16.01,2.3
Cayenne,GF,1610622990,4.9333,-52.3333,90,100,77.0,2.3
Fairbanks,US,1610622990,64.8378,-147.7164,1,77,9.0,1.63
Kampot,KH,1610622771,10.6167,104.1833,0,65,78.8,9.22
Airdrie,GB,1610622991,55.866,-3.9803,90,93,37.0,2.3
Walvis Bay,NA,1610622991,-22.9575,14.5053,87,57,77.0,11.5
Cananéia,BR,1610622991,-25.0147,-47.9267,54,85,78.24,4.97
Wanning,CN,1610622863,18.8003,110.3967,15,72,63.73,6.58
Barra Patuca,HN,1610622991,15.8,-84.2833,88,88,74.68,7.56
Vestmanna,FO,1610622992,62.1564,-7.1664,75,93,41.0,10.36
Cockburn Town,TC,1610622992,21.4612,-71.1419,66,81,77.23,15.21
Sola,VU,1610622992,-13.8833,167.55,100,79,82.92,11.16
Lanzhou,CN,1610622925,36.0564,103.7922,0,34,30.2,6.71
Ca Mau,VN,1610622719,9.1769,105.15,54,74,75.61,6.85
Chicama,PE,1610622993,-7.8447,-79.1469,100,83,69.71,2.06
Soe,ID,1610622993,-9.8607,124.284,99,99,70.9,0.58
Bilwang,PH,1610622994,10.8834,124.4667,7,85,80.2,7.81
Ancud,CL,1610622994,-41.8697,-73.8203,0,93,51.01,2.3
Chone,EC,1610622994,-0.6833,-80.1,100,89,73.26,1.25
Zhuhai,CN,1610622994,22.2769,113.5678,0,82,62.6,6.91
Novikovo,RU,1610622994,51.1537,37.8879,94,96,20.73,6.87
Mathbaria,BD,1610622995,22.2876,89.9593,20,45,76.03,6.31
Manakara,MG,1610622995,-22.1333,48.0167,38,66,86.74,9.84
Amapá,BR,1610622995,1.0,-52.0,57,93,73.49,3.89
Las Vegas,US,1610622426,36.175,-115.1372,1,29,48.99,9.22
Te Anau,NZ,1610622996,-45.4167,167.7167,0,86,54.5,1.36
Ternate,ID,1610622996,0.8,127.4,100,78,82.49,7.74
Irati,BR,1610622996,-25.4672,-50.6511,100,82,66.4,5.86
Turkmenabat,TM,1610622996,39.0733,63.5786,0,29,60.8,9.22
Avera,US,1610622997,33.194,-82.5271,1,100,35.6,4.61
Zabaykal'sk,RU,1610622997,49.6333,117.3167,15,83,-13.23,4.0
Rawson,AR,1610622997,-43.3002,-65.1023,76,55,70.54,30.8
Port Lincoln,AU,1610622997,-34.7333,135.8667,20,70,58.53,14.2
Nanortalik,GL,1610622997,60.1432,-45.2371,100,95,26.65,7.81
Salinas,US,1610622998,36.6777,-121.6555,1,87,57.0,5.75
Flinders,AU,1610622998,-34.5833,150.8552,25,77,73.0,3.0
Kisanga,TZ,1610622998,-7.4362,37.7034,74,67,84.94,6.64
Bahía Blanca,AR,1610622998,-38.7196,-62.2724,47,22,72.73,17.81
Bandarbeyla,SO,1610622999,9.4942,50.8122,0,63,77.99,22.06
Santa Isabel,BR,1610622999,-23.3156,-46.2214,75,83,75.0,3.44
Oddur,SO,1610622999,4.1213,43.8894,0,19,91.76,18.5
Todos Santos,MX,1610622999,23.45,-110.2167,0,53,59.0,7.09
Prescott,US,1610622999,34.54,-112.4685,1,42,42.8,6.91
Cukai,MY,1610623000,4.25,103.4167,40,83,78.8,6.91
The Valley,AI,1610623001,18.217,-63.0578,40,83,77.0,11.5
Isangel,VU,1610623001,-19.55,169.2667,100,89,78.1,5.21
Aykhal,RU,1610623001,66.0,111.5,100,83,-27.15,6.73
Tual,ID,1610623001,-5.6667,132.75,100,74,83.86,8.05
Gull Lake,CA,1610623001,50.1001,-108.4847,1,74,23.0,28.77
Kailua,US,1610623002,21.4022,-157.7394,90,73,75.2,13.8
Beringovskiy,RU,1610623002,63.05,179.3167,42,86,-16.29,6.96
Saint George,US,1610623002,37.1041,-113.5841,1,40,30.2,4.61
Pak Chong,TH,1610622906,14.708,101.4161,7,37,84.0,4.38
Yeppoon,AU,1610623002,-23.1333,150.7333,18,69,77.0,2.3
Warragul,AU,1610622776,-38.1667,145.9333,0,81,55.99,4.0
Geraldton,AU,1610622993,-28.7667,114.6,46,65,78.8,17.27
Itarema,BR,1610623003,-2.9248,-39.9167,93,70,81.82,13.24
Weinan,CN,1610622829,34.5036,109.5089,0,34,50.0,4.47
Colina,BR,1610623004,-20.7133,-48.5408,100,97,69.73,5.66
Warmbad,NA,1610623004,-28.45,18.7333,13,30,93.34,5.37
Hoquiam,US,1610623004,46.9809,-123.8893,75,75,44.01,12.66
Paphos,CY,1610623004,34.7667,32.4167,75,63,60.8,17.27
Amazar,RU,1610623004,53.858,120.875,21,83,-18.56,1.77
Kondinskoye,RU,1610623005,59.6481,67.41,0,87,-13.09,7.07
Wajid,SO,1610623005,3.8093,43.2471,0,19,93.94,14.79
Oxford,GB,1610622989,51.7522,-1.256,75,100,50.0,6.91
Stara Syniava,UA,1610623005,49.6032,27.6191,100,96,28.27,8.01
Nuevo Progreso,MX,1610623006,23.1667,-97.95,78,87,60.01,1.99
Nevesinje,BA,1610623006,43.2586,18.1133,90,69,33.8,1.14
Qasigiannguit,GL,1610623006,68.8193,-51.1922,75,86,21.2,5.75
Anchorage,US,1610623007,61.2181,-149.9003,40,79,26.01,5.53
Biak,ID,1610623007,-0.9131,122.8766,26,78,79.74,1.9
San Quintín,MX,1610623007,30.4833,-115.95,36,52,57.24,3.27
Birin,NP,1610623007,26.8865,88.0718,0,56,51.6,3.47
Kosino,RU,1610623007,58.4127,51.2782,100,93,5.49,12.59
Abnūb,EG,1610623008,27.2696,31.1511,0,45,64.4,12.66
Isoka,ZM,1610623008,-10.1606,32.6335,99,79,72.66,5.37
Mumbwa,ZM,1610623008,-14.9783,27.0619,100,88,73.78,9.62
Frolovo,RU,1610623008,49.7713,43.6622,100,94,32.0,9.75
Ulaangom,MN,1610623008,49.9811,92.0667,100,90,-5.57,0.72
Ushibukamachi,JP,1610622876,32.1906,130.0228,56,63,54.52,3.27
Porto Nacional,BR,1610623009,-10.7081,-48.4172,75,89,78.8,2.3
Richards Bay,ZA,1610623009,-28.783,32.0377,58,56,88.02,12.97
Tutóia,BR,1610623010,-2.7619,-42.2744,32,79,80.69,12.71
Henties Bay,NA,1610623010,-22.116,14.2845,47,72,70.57,11.03
Tabas,IR,1610623010,33.5959,56.9244,0,15,57.2,2.3
Berbérati,CF,1610623011,4.2612,15.7922,0,57,82.4,18.41
Khovd,MN,1610622830,48.0056,91.6419,84,79,3.52,3.27
Lamas,PE,1610623011,-6.4167,-76.5333,97,99,64.08,1.28
Yaan,NG,1610623011,7.3833,8.5667,7,29,94.21,4.32
Mahibadhoo,MV,1610622903,3.7833,72.9667,66,78,81.73,14.29
Waddān,LY,1610623012,29.1614,16.139,0,46,57.81,9.17
Nishifukuma,JP,1610623012,33.7667,130.4667,0,81,48.2,3.44
Kjøllefjord,NO,1610623012,70.9457,27.3465,75,86,33.8,5.75
Bubaque,GW,1610623012,11.2833,-15.8333,0,46,76.05,14.97
Santa Rosa,PH,1610623013,14.3122,121.1114,75,78,80.6,5.75
Charters Towers,AU,1610623013,-20.1,146.2667,100,78,76.06,13.65
Pozhva,RU,1610623013,59.0912,56.0847,99,92,-3.15,5.46
Ende,ID,1610623013,-8.8432,121.6623,100,74,82.0,2.91
Frontera,MX,1610623013,26.9333,-101.45,0,39,54.03,11.21
Snåase,NO,1610623014,64.2457,12.3778,20,85,8.6,14.97
Robertsport,LR,1610623014,6.7533,-11.3686,56,75,81.99,4.27
Viedma,AR,1610623015,-40.8135,-62.9967,100,52,70.0,5.01
Sigli,ID,1610623015,5.3848,95.9609,100,84,78.75,9.73
Abapó,BO,1610623015,-18.8333,-63.4667,67,100,66.54,1.36
Ishigaki,JP,1610622859,24.3448,124.1572,0,63,66.2,16.11
Vanimo,PG,1610623016,-2.6741,141.3028,90,83,80.76,7.34
Stornoway,GB,1610623016,58.2093,-6.3865,75,87,46.4,14.97
Tokur,RU,1610623016,53.1333,132.9,96,89,-22.49,2.8
Kushima,JP,1610622907,31.4583,131.2333,40,66,50.0,3.44
Burgeo,CA,1610623017,47.6167,-57.6152,100,93,29.25,7.0
Safaga,EG,1610623017,26.7292,33.9365,0,30,68.0,18.41
Villazón,BO,1610623017,-22.0866,-65.5942,96,84,49.3,3.94
Bafoussam,CM,1610623017,5.4737,10.4179,0,17,86.23,3.56
Mae Sai,TH,1610623017,20.4335,99.8762,20,56,72.0,0.89
Escuinapa,MX,1610623018,22.85,-105.8,1,93,48.2,2.95
Najrān,SA,1610622914,17.4924,44.1277,0,25,73.4,4.61
Yagodnoye,RU,1610623018,62.55,149.6667,100,84,-20.76,2.08
Vila Velha,BR,1610623018,-20.3297,-40.2925,20,74,84.0,5.75
Verkhnyaya Salda,RU,1610623018,58.0456,60.5533,24,91,-3.23,5.03
Roald,NO,1610623019,62.5833,6.1333,0,69,28.4,6.91
Morón,AR,1610623019,-34.6534,-58.6198,0,59,72.0,8.01
Alice Springs,AU,1610622908,-23.7,133.8833,23,15,96.8,8.05
Mauá,BR,1610623019,-23.6678,-46.4614,75,78,75.0,5.75
Villa Bruzual,VE,1610623020,9.3328,-69.1208,51,85,68.79,2.98
Prymors'k,UA,1610623020,46.7348,36.3443,26,82,34.48,5.37
Mafeteng,LS,1610623020,-29.823,27.2374,75,64,73.4,6.91
Tacna,PE,1610623020,-18.0056,-70.2483,0,68,68.0,5.75
South Venice,US,1610623020,27.0531,-82.4243,90,94,55.0,6.91
Grand-Santi,GF,1610623021,4.25,-54.3833,73,96,72.28,1.9
Samarai,PG,1610623021,-10.6167,150.6667,96,76,83.61,1.9
Visby,SE,1610623021,57.6409,18.296,75,80,32.0,18.41
Pisco,PE,1610623021,-13.7,-76.2167,20,82,66.2,4.61
Hambantota,LK,1610622927,6.1241,81.1185,90,100,78.8,3.44
Carlyle,US,1610623022,38.6103,-89.3726,60,83,37.0,3.0
Swarzędz,PL,1610623022,52.4129,17.085,40,93,33.01,6.91
Puerto Guzmán,CO,1610623022,0.9703,-76.5858,91,77,68.97,2.93
São Filipe,CV,1610623022,14.8961,-24.4956,90,68,73.2,12.59
Harper,LR,1610623023,4.375,-7.7169,97,72,82.81,6.62
Calama,CL,1610623023,-22.4667,-68.9333,0,28,53.6,13.8
Hīt,IQ,1610623023,33.6416,42.8251,100,30,63.75,4.92
Solginskiy,RU,1610623023,61.05,41.3428,100,88,-13.05,7.87
Alvarães,BR,1610623024,-3.2208,-64.8042,90,94,77.0,2.3
Santiago,CL,1610623024,-33.4569,-70.6483,0,58,66.0,1.34
Trelew,AR,1610623024,-43.249,-65.3051,79,52,71.87,29.59
Serchhīp,IN,1610623024,23.3,92.8333,40,68,68.0,3.44
Turan,VN,1610622821,16.0678,108.2208,75,73,68.0,3.44
Dilijan,AM,1610623025,40.741,44.8636,64,56,46.62,7.87
Champerico,GT,1610623025,14.3,-91.9167,0,95,57.99,1.99
Bridlington,GB,1610623025,54.0831,-0.1919,100,87,37.0,8.01
Hamilton,US,1610623025,39.1834,-84.5333,20,80,34.0,10.36
Egvekinot,RU,1610623026,66.3167,-179.1667,100,91,-6.14,10.71
